image,label
ISIC_0029521,2
ISIC_0058951,4
ISIC_0014423_downsampled,1
ISIC_0028240,2
ISIC_0066628,2
ISIC_0025327,2
ISIC_0060388,2
ISIC_0055140,1
ISIC_0033213,2
ISIC_0013097_downsampled,2
ISIC_0071865,1
ISIC_0029583,2
ISIC_0071631,8
ISIC_0070225,2
ISIC_0061844,5
ISIC_0060021,3
ISIC_0011137,1
ISIC_0060376,1
ISIC_0069157,2
ISIC_0024599,2
ISIC_0054022,2
ISIC_0031178,2
ISIC_0010206,2
ISIC_0029624,2
ISIC_0068599,5
ISIC_0030245,8
ISIC_0063701,7
ISIC_0029001,2
ISIC_0032848,2
ISIC_0026933,2
ISIC_0026301,5
ISIC_0067955,2
ISIC_0026796,1
ISIC_0065935,5
ISIC_0059554,1
ISIC_0061230,2
ISIC_0070344,1
ISIC_0071460,2
ISIC_0025778,2
ISIC_0054181,4
ISIC_0057629,3
ISIC_0057715,3
ISIC_0055606,3
ISIC_0065692,8
ISIC_0030805,2
ISIC_0063109,1
ISIC_0067466,1
ISIC_0012489_downsampled,2
ISIC_0057657,3
ISIC_0065880,4
ISIC_0072880,3
ISIC_0053924,3
ISIC_0056240,5
ISIC_0066575,3
ISIC_0015161_downsampled,2
ISIC_0057946,2
ISIC_0069774,2
ISIC_0024824,2
ISIC_0032105,2
ISIC_0057088,3
ISIC_0028009,2
ISIC_0068893,2
ISIC_0071966,2
ISIC_0028264,5
ISIC_0064794,2
ISIC_0025584,3
ISIC_0030299,2
ISIC_0028969,1
ISIC_0062867,2
ISIC_0012803_downsampled,2
ISIC_0033438,5
ISIC_0068634,2
ISIC_0013087_downsampled,2
ISIC_0032068,2
ISIC_0031081,2
ISIC_0024472,3
ISIC_0071672,3
ISIC_0066238,3
ISIC_0060842,3
ISIC_0070938,1
ISIC_0009871,2
ISIC_0029321,2
ISIC_0000293,1
ISIC_0012813_downsampled,5
ISIC_0061331,4
ISIC_0068570,3
ISIC_0056068,2
ISIC_0012811,5
ISIC_0012970_downsampled,2
ISIC_0071625,2
ISIC_0071602,2
ISIC_0026258,1
ISIC_0024332,3
ISIC_0014983_downsampled,1
ISIC_0025508,2
ISIC_0001140_downsampled,1
ISIC_0058464,2
ISIC_0069153,3
ISIC_0069669,1
ISIC_0026596,1
ISIC_0024919,2
ISIC_0068901,2
ISIC_0032898,5
ISIC_0067242,2
ISIC_0059567,2
ISIC_0053720,2
ISIC_0000230,2
ISIC_0058877,1
ISIC_0025913,2
ISIC_0067557,5
ISIC_0034231,2
ISIC_0067721,3
ISIC_0060923,5
ISIC_0025940,3
ISIC_0072505,3
ISIC_0073221,3
ISIC_0026453,3
ISIC_0063820,2
ISIC_0033778,5
ISIC_0027765,2
ISIC_0028036,2
ISIC_0010005,2
ISIC_0053541,1
ISIC_0072080,2
ISIC_0013562_downsampled,2
ISIC_0024588,2
ISIC_0033657,2
ISIC_0016012_downsampled,2
ISIC_0066444,2
ISIC_0030193,2
ISIC_0033696,1
ISIC_0069683,5
ISIC_0033424,1
ISIC_0012852_downsampled,5
ISIC_0054834,3
ISIC_0032920,2
ISIC_0072361,3
ISIC_0033217,1
ISIC_0032857,3
ISIC_0069908,1
ISIC_0014274_downsampled,2
ISIC_0055449,8
ISIC_0027198,2
ISIC_0032578,2
ISIC_0015051_downsampled,2
ISIC_0053554,2
ISIC_0061610,5
ISIC_0033144,2
ISIC_0032577,2
ISIC_0056815,2
ISIC_0034055,2
ISIC_0071967,3
ISIC_0061281,1
ISIC_0069255,3
ISIC_0057059,2
ISIC_0013579_downsampled,1
ISIC_0060810,4
ISIC_0026908,2
ISIC_0028304,2
ISIC_0015026_downsampled,2
ISIC_0067745,2
ISIC_0033913,5
ISIC_0027460,2
ISIC_0058964,3
ISIC_0030054,2
ISIC_0028538,2
ISIC_0061135,3
ISIC_0057829,2
ISIC_0029653,2
ISIC_0055657,2
ISIC_0024577,2
ISIC_0055233,2
ISIC_0014928_downsampled,1
ISIC_0061076,3
ISIC_0054336,5
ISIC_0058448,1
ISIC_0065420,1
ISIC_0073232,2
ISIC_0014956_downsampled,2
ISIC_0033695,6
ISIC_0033813,1
ISIC_0071053,3
ISIC_0070223,3
ISIC_0066699,4
ISIC_0062993,2
ISIC_0026679,5
ISIC_0055858,2
ISIC_0055590,2
ISIC_0059869,1
ISIC_0033727,2
ISIC_0031751,2
ISIC_0034272,2
ISIC_0059131,2
ISIC_0061395,2
ISIC_0034289,1
ISIC_0015207_downsampled,2
ISIC_0027270,5
ISIC_0068440,2
ISIC_0068367,8
ISIC_0013458_downsampled,5
ISIC_0070920,1
ISIC_0072933,8
ISIC_0030999,2
ISIC_0066242,2
ISIC_0062446,2
ISIC_0053697,6
ISIC_0033891,6
ISIC_0032784,2
ISIC_0032475,2
ISIC_0057300,3
ISIC_0026853,1
ISIC_0026838,2
ISIC_0013334_downsampled,1
ISIC_0015353_downsampled,2
ISIC_0061224,1
ISIC_0062664,3
ISIC_0066223,2
ISIC_0000486,2
ISIC_0070587,2
ISIC_0025181,2
ISIC_0030591,8
ISIC_0034034,1
ISIC_0026244,2
ISIC_0066908,8
ISIC_0053863,3
ISIC_0030365,5
ISIC_0063031,3
ISIC_0073020,2
ISIC_0010327,2
ISIC_0025704,2
ISIC_0034074,1
ISIC_0032802,2
ISIC_0033208,2
ISIC_0031100,2
ISIC_0028915,1
ISIC_0029986,2
ISIC_0071551,2
ISIC_0003005_downsampled,2
ISIC_0073215,3
ISIC_0011329,1
ISIC_0055700,8
ISIC_0029311,5
ISIC_0025708,1
ISIC_0025717,2
ISIC_0064992,1
ISIC_0057837,1
ISIC_0032124,5
ISIC_0032136,2
ISIC_0011098,2
ISIC_0026843,5
ISIC_0027574,2
ISIC_0055510,3
ISIC_0012348_downsampled,1
ISIC_0058980,2
ISIC_0058000,1
ISIC_0032139,3
ISIC_0026003,2
ISIC_0065337,2
ISIC_0070937,2
ISIC_0068575,5
ISIC_0058644,1
ISIC_0060845,1
ISIC_0027031,2
ISIC_0015142_downsampled,1
ISIC_0029750,2
ISIC_0027820,5
ISIC_0068803,6
ISIC_0031001,2
ISIC_0058212,5
ISIC_0033855,5
ISIC_0026181,2
ISIC_0059294,1
ISIC_0011353,2
ISIC_0070339,2
ISIC_0029709,2
ISIC_0064006,1
ISIC_0034103,5
ISIC_0033027,1
ISIC_0063702,3
ISIC_0069490,6
ISIC_0024735,2
ISIC_0062278,3
ISIC_0064884,3
ISIC_0054915,6
ISIC_0063934,2
ISIC_0028259,2
ISIC_0059005,1
ISIC_0034104,1
ISIC_0069936,3
ISIC_0033514,2
ISIC_0028103,1
ISIC_0065909,5
ISIC_0061448,1
ISIC_0072434,3
ISIC_0031158,2
ISIC_0055096,3
ISIC_0070723,7
ISIC_0028993,2
ISIC_0030971,2
ISIC_0026836,2
ISIC_0032793,2
ISIC_0062628,1
ISIC_0069352,4
ISIC_0061661,3
ISIC_0063179,2
ISIC_0058656,2
ISIC_0069915,3
ISIC_0028025,2
ISIC_0014308_downsampled,1
ISIC_0029440,2
ISIC_0026590,5
ISIC_0033694,2
ISIC_0026974,2
ISIC_0054659,2
ISIC_0031347,2
ISIC_0030970,1
ISIC_0033369,1
ISIC_0010246,2
ISIC_0056362,3
ISIC_0056055,2
ISIC_0032660,3
ISIC_0012777_downsampled,2
ISIC_0066868,2
ISIC_0055066,2
ISIC_0067318,1
ISIC_0028724,2
ISIC_0057989,3
ISIC_0059028,6
ISIC_0056806,1
ISIC_0058784,3
ISIC_0014931_downsampled,1
ISIC_0064247,1
ISIC_0010044,2
ISIC_0063885,1
ISIC_0012223_downsampled,5
ISIC_0064936,1
ISIC_0034040,5
ISIC_0070502,2
ISIC_0064064,3
ISIC_0028041,1
ISIC_0026059,2
ISIC_0026482,2
ISIC_0056740,1
ISIC_0069736,1
ISIC_0064416,1
ISIC_0014548_downsampled,1
ISIC_0032255,2
ISIC_0030177,3
ISIC_0055645,5
ISIC_0033067,2
ISIC_0026261,2
ISIC_0062318,1
ISIC_0071013,5
ISIC_0024420,5
ISIC_0053459,2
ISIC_0028885,7
ISIC_0013603_downsampled,2
ISIC_0056917,3
ISIC_0032439,3
ISIC_0034067,2
ISIC_0029254,2
ISIC_0014361_downsampled,1
ISIC_0028227,1
ISIC_0013801_downsampled,2
ISIC_0029639,2
ISIC_0057668,1
ISIC_0032946,2
ISIC_0029753,2
ISIC_0068500,2
ISIC_0063631,8
ISIC_0027257,2
ISIC_0028379,2
ISIC_0069180,3
ISIC_0029341,3
ISIC_0033624,1
ISIC_0029947,5
ISIC_0015985_downsampled,2
ISIC_0057817,2
ISIC_0069551,8
ISIC_0009990,2
ISIC_0000166,1
ISIC_0033756,2
ISIC_0069324,1
ISIC_0070953,3
ISIC_0029959,2
ISIC_0053593,8
ISIC_0030625,2
ISIC_0013089_downsampled,5
ISIC_0025864,2
ISIC_0054279,3
ISIC_0068218,1
ISIC_0003559_downsampled,2
ISIC_0057135,4
ISIC_0068200,1
ISIC_0058837,1
ISIC_0033783,5
ISIC_0055926,2
ISIC_0061111,2
ISIC_0013986_downsampled,1
ISIC_0031050,5
ISIC_0012381_downsampled,2
ISIC_0030097,2
ISIC_0057564,3
ISIC_0000075,2
ISIC_0069206,3
ISIC_0061701,1
ISIC_0069299,3
ISIC_0014795_downsampled,1
ISIC_0010075,2
ISIC_0063160,3
ISIC_0065747,2
ISIC_0063173,2
ISIC_0065078,4
ISIC_0059548,3
ISIC_0057963,1
ISIC_0033656,2
ISIC_0028696,1
ISIC_0031105,2
ISIC_0033159,2
ISIC_0055068,3
ISIC_0057218,1
ISIC_0015007_downsampled,2
ISIC_0032683,2
ISIC_0056012,2
ISIC_0055970,2
ISIC_0013030_downsampled,5
ISIC_0064694,1
ISIC_0012551_downsampled,2
ISIC_0028075,1
ISIC_0054924,3
ISIC_0059577,3
ISIC_0067444,2
ISIC_0069561,2
ISIC_0071709,3
ISIC_0032265,1
ISIC_0024904,7
ISIC_0031289,5
ISIC_0028533,2
ISIC_0061008,1
ISIC_0054940,3
ISIC_0071073,2
ISIC_0071175,2
ISIC_0031850,2
ISIC_0055695,2
ISIC_0059620,5
ISIC_0031975,2
ISIC_0033263,2
ISIC_0069478,5
ISIC_0027551,2
ISIC_0032755,2
ISIC_0064588,3
ISIC_0029726,1
ISIC_0060772,2
ISIC_0066731,5
ISIC_0072056,2
ISIC_0000338,2
ISIC_0014507_downsampled,1
ISIC_0072078,1
ISIC_0069063,1
ISIC_0013365_downsampled,1
ISIC_0064370,2
ISIC_0067034,5
ISIC_0069724,3
ISIC_0010590,2
ISIC_0069040,2
ISIC_0010017,2
ISIC_0072329,2
ISIC_0033289,2
ISIC_0031699,2
ISIC_0029154,2
ISIC_0072569,1
ISIC_0054077,2
ISIC_0072296,5
ISIC_0030730,4
ISIC_0058168,1
ISIC_0070754,4
ISIC_0064841,3
ISIC_0060847,5
ISIC_0063226,2
ISIC_0026697,1
ISIC_0027545,3
ISIC_0010573,2
ISIC_0012211_downsampled,2
ISIC_0030013,2
ISIC_0024923,8
ISIC_0026938,2
ISIC_0060019,2
ISIC_0029920,2
ISIC_0056325,2
ISIC_0058678,3
ISIC_0059686,1
ISIC_0055957,3
ISIC_0059532,1
ISIC_0011225,2
ISIC_0013843_downsampled,2
ISIC_0054341,1
ISIC_0014635_downsampled,5
ISIC_0029980,2
ISIC_0029116,2
ISIC_0055802,1
ISIC_0064509,2
ISIC_0028620,2
ISIC_0060707,2
ISIC_0068559,3
ISIC_0026209,2
ISIC_0066567,2
ISIC_0064925,1
ISIC_0032264,2
ISIC_0029112,2
ISIC_0057692,1
ISIC_0064586,5
ISIC_0061465,3
ISIC_0014753_downsampled,2
ISIC_0057552,5
ISIC_0025227,2
ISIC_0069618,2
ISIC_0071004,2
ISIC_0064271,3
ISIC_0068363,3
ISIC_0063312,2
ISIC_0070489,1
ISIC_0024592,5
ISIC_0032951,2
ISIC_0053686,1
ISIC_0033532,2
ISIC_0067576,1
ISIC_0055185,5
ISIC_0034163,2
ISIC_0031201,7
ISIC_0069918,1
ISIC_0034145,1
ISIC_0034089,1
ISIC_0012768_downsampled,2
ISIC_0067025,6
ISIC_0029044,2
ISIC_0033473,1
ISIC_0063270,3
ISIC_0012369_downsampled,1
ISIC_0063613,2
ISIC_0034140,1
ISIC_0056042,3
ISIC_0034038,2
ISIC_0027140,2
ISIC_0026483,2
ISIC_0070927,1
ISIC_0024608,2
ISIC_0064761,1
ISIC_0014843_downsampled,2
ISIC_0069058,1
ISIC_0070090,2
ISIC_0061410,4
ISIC_0027563,7
ISIC_0072585,1
ISIC_0063164,1
ISIC_0028529,2
ISIC_0012927_downsampled,5
ISIC_0031925,3
ISIC_0056276,2
ISIC_0062578,2
ISIC_0024827,2
ISIC_0030602,8
ISIC_0072136,1
ISIC_0028934,2
ISIC_0026072,5
ISIC_0015962_downsampled,2
ISIC_0030966,2
ISIC_0062156,8
ISIC_0032214,1
ISIC_0027589,2
ISIC_0067336,7
ISIC_0057787,1
ISIC_0053828,1
ISIC_0070311,4
ISIC_0014977_downsampled,2
ISIC_0025308,2
ISIC_0011306,2
ISIC_0026931,2
ISIC_0056110,2
ISIC_0071172,3
ISIC_0028502,2
ISIC_0000132_downsampled,2
ISIC_0029913,1
ISIC_0067294,2
ISIC_0010262,2
ISIC_0058652,2
ISIC_0013489_downsampled,2
ISIC_0061456,3
ISIC_0028256,2
ISIC_0028611,5
ISIC_0016024_downsampled,2
ISIC_0071654,2
ISIC_0065333,2
ISIC_0068658,2
ISIC_0031770,5
ISIC_0033533,1
ISIC_0025812,2
ISIC_0028709,1
ISIC_0056635,2
ISIC_0058801,2
ISIC_0066200,1
ISIC_0026143,2
ISIC_0054268,2
ISIC_0014955_downsampled,2
ISIC_0000245,2
ISIC_0055519,1
ISIC_0033613,5
ISIC_0057433,2
ISIC_0033962,1
ISIC_0059709,4
ISIC_0030264,2
ISIC_0067662,2
ISIC_0024761,5
ISIC_0031543,1
ISIC_0057357,4
ISIC_0068398,5
ISIC_0030103,2
ISIC_0054589,3
ISIC_0028577,3
ISIC_0069909,3
ISIC_0055420,2
ISIC_0056504,4
ISIC_0031963,2
ISIC_0032821,2
ISIC_0031943,3
ISIC_0025565,2
ISIC_0030249,3
ISIC_0031183,2
ISIC_0064030,3
ISIC_0027897,2
ISIC_0024846,2
ISIC_0061500,2
ISIC_0057880,5
ISIC_0027790,7
ISIC_0030215,2
ISIC_0071878,3
ISIC_0026357,2
ISIC_0066505,1
ISIC_0054499,2
ISIC_0057737,2
ISIC_0062632,1
ISIC_0069885,5
ISIC_0031818,2
ISIC_0064275,2
ISIC_0063268,1
ISIC_0070974,1
ISIC_0055718,3
ISIC_0030762,2
ISIC_0072330,1
ISIC_0059964,2
ISIC_0015237_downsampled,2
ISIC_0053474,3
ISIC_0061411,1
ISIC_0063892,3
ISIC_0026814,2
ISIC_0071246,2
ISIC_0028263,2
ISIC_0026791,2
ISIC_0059972,5
ISIC_0064095,2
ISIC_0054962,2
ISIC_0033777,2
ISIC_0031577,5
ISIC_0067131,3
ISIC_0034106,1
ISIC_0027466,2
ISIC_0061468,2
ISIC_0054006,1
ISIC_0026133,2
ISIC_0058176,1
ISIC_0026699,2
ISIC_0066290,3
ISIC_0055892,1
ISIC_0069687,2
ISIC_0026110,2
ISIC_0070794,1
ISIC_0025946,2
ISIC_0056379,3
ISIC_0058891,2
ISIC_0031173,2
ISIC_0056901,1
ISIC_0027368,2
ISIC_0064727,2
ISIC_0026242,2
ISIC_0056984,1
ISIC_0027840,2
ISIC_0025274,2
ISIC_0032721,2
ISIC_0053503,1
ISIC_0056991,1
ISIC_0055024,1
ISIC_0062661,8
ISIC_0058914,2
ISIC_0031043,8
ISIC_0034202,1
ISIC_0066455,5
ISIC_0068905,1
ISIC_0030352,3
ISIC_0055186,2
ISIC_0054907,5
ISIC_0063745,2
ISIC_0069988,1
ISIC_0031464,5
ISIC_0030226,5
ISIC_0029180,2
ISIC_0031789,3
ISIC_0013961_downsampled,2
ISIC_0032497,3
ISIC_0013588_downsampled,1
ISIC_0063440,2
ISIC_0058768,1
ISIC_0026026,2
ISIC_0058690,8
ISIC_0060384,5
ISIC_0033305,5
ISIC_0028354,5
ISIC_0058496,1
ISIC_0015079_downsampled,1
ISIC_0033126,2
ISIC_0032480,2
ISIC_0071392,1
ISIC_0056705,2
ISIC_0026557,2
ISIC_0028309,5
ISIC_0027473,3
ISIC_0062949,5
ISIC_0031106,2
ISIC_0063056,1
ISIC_0054797,2
ISIC_0031123,6
ISIC_0027040,2
ISIC_0029798,2
ISIC_0014646_downsampled,5
ISIC_0025417,3
ISIC_0000023_downsampled,2
ISIC_0059385,2
ISIC_0000095_downsampled,2
ISIC_0032276,2
ISIC_0031308,2
ISIC_0030012,2
ISIC_0069494,2
ISIC_0061885,1
ISIC_0012160_downsampled,2
ISIC_0024924,2
ISIC_0031273,2
ISIC_0061440,3
ISIC_0053532,2
ISIC_0000337,2
ISIC_0032033,2
ISIC_0003308_downsampled,2
ISIC_0032113,5
ISIC_0000162,1
ISIC_0026208,2
ISIC_0028197,3
ISIC_0014973_downsampled,2
ISIC_0026097,2
ISIC_0072776,3
ISIC_0064795,2
ISIC_0061670,1
ISIC_0000179_downsampled,2
ISIC_0059996,3
ISIC_0025979,2
ISIC_0055833,2
ISIC_0062480,3
ISIC_0063986,2
ISIC_0054206,1
ISIC_0057793,2
ISIC_0010183,2
ISIC_0059644,3
ISIC_0057066,2
ISIC_0030615,2
ISIC_0068369,8
ISIC_0072693,3
ISIC_0026606,5
ISIC_0070131,3
ISIC_0013910_downsampled,5
ISIC_0054270,2
ISIC_0033254,7
ISIC_0024441,2
ISIC_0024909,5
ISIC_0070551,1
ISIC_0055044,2
ISIC_0030643,2
ISIC_0063532,3
ISIC_0067179,2
ISIC_0025254,2
ISIC_0014866_downsampled,2
ISIC_0026912,5
ISIC_0070098,2
ISIC_0058973,3
ISIC_0028373,2
ISIC_0033146,3
ISIC_0060314,3
ISIC_0063004,3
ISIC_0025718,3
ISIC_0071329,5
ISIC_0057295,7
ISIC_0010317,2
ISIC_0066895,4
ISIC_0058005,3
ISIC_0029328,2
ISIC_0069142,2
ISIC_0062672,5
ISIC_0068627,1
ISIC_0000066,2
ISIC_0058003,1
ISIC_0055629,3
ISIC_0025764,2
ISIC_0065200,2
ISIC_0067944,8
ISIC_0011165,2
ISIC_0053473,1
ISIC_0027553,2
ISIC_0012683_downsampled,2
ISIC_0062350,1
ISIC_0060925,5
ISIC_0067205,1
ISIC_0060572,2
ISIC_0034152,2
ISIC_0060794,2
ISIC_0060863,2
ISIC_0054644,8
ISIC_0012233_downsampled,2
ISIC_0031620,5
ISIC_0057694,2
ISIC_0068904,3
ISIC_0030252,2
ISIC_0060219,1
ISIC_0059961,3
ISIC_0013216_downsampled,2
ISIC_0060186,2
ISIC_0062411,5
ISIC_0071583,1
ISIC_0032413,2
ISIC_0068091,2
ISIC_0061159,1
ISIC_0027379,2
ISIC_0025921,2
ISIC_0014860_downsampled,2
ISIC_0054520,1
ISIC_0009899,2
ISIC_0028149,2
ISIC_0033534,1
ISIC_0028965,1
ISIC_0073003,2
ISIC_0063687,1
ISIC_0058808,2
ISIC_0014766_downsampled,1
ISIC_0060539,2
ISIC_0032713,2
ISIC_0015013_downsampled,2
ISIC_0070950,3
ISIC_0027314,2
ISIC_0057016,1
ISIC_0057426,8
ISIC_0072662,3
ISIC_0000136_downsampled,2
ISIC_0057886,2
ISIC_0026959,5
ISIC_0000294,1
ISIC_0029393,2
ISIC_0025720,2
ISIC_0065076,3
ISIC_0072047,3
ISIC_0033372,3
ISIC_0024679,1
ISIC_0056829,5
ISIC_0030231,5
ISIC_0013410_downsampled,2
ISIC_0030671,2
ISIC_0061978,5
ISIC_0054573,1
ISIC_0031873,2
ISIC_0027193,2
ISIC_0056698,2
ISIC_0063519,6
ISIC_0067498,2
ISIC_0026207,1
ISIC_0025951,2
ISIC_0000246,2
ISIC_0031452,2
ISIC_0054502,2
ISIC_0013736_downsampled,1
ISIC_0060231,2
ISIC_0030745,2
ISIC_0065214,2
ISIC_0032602,1
ISIC_0063168,1
ISIC_0072781,2
ISIC_0014850_downsampled,2
ISIC_0012987_downsampled,2
ISIC_0026276,5
